Titulo,Free Text
Categoria:Origem/Alemanha/Meissen,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Meissen,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Meissen,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Meissen,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Meissen,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Meissen,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Meissen,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Meissen,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Saxe(?),[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Saxe(?),[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Saxe(?),[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Saxe(?),[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Saxe(?),[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Saxe(?),[[Categoria:Origem/Alemanha]]
,
,
,
,
,
Categoria:Origem/Inglaterra/Stoke-on-Trent(?),[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Inglaterra/Stoke-on-Trent(?),[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Inglaterra/Stoke-on-Trent(?),[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Inglaterra/Stoke-on-Trent(?),[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Inglaterra/Stoke-on-Trent(?),[[Categoria:Origem/Inglaterra]]
,
,
,
,
,
Categoria:Origem/Inglaterra/Londres,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Itália/Nápoles,[[Categoria:Origem/Itália]]
Categoria:Origem/Itália/Nápoles,[[Categoria:Origem/Itália]]
,
Categoria:Origem/França/Paris,[[Categoria:Origem/França]]
Categoria:Origem/França/Paris,[[Categoria:Origem/França]]
,
,
,
Categoria:Origem/Alemanha/Dresden,[[Categoria:Origem/Alemanha]]
,
Categoria:Origem/França/Sèvres,[[Categoria:Origem/França]]
,
,
,
