"relógio carrilhão","M-0231"
"banqueta para piano","M-0232"
"banco","M-0233"
"mesa de costura ","M-0234"
"tocheiro","M-0235"
"tocheiro","M-0236"
"Cômoda","M-0237"
"Vaso","M-0238"
"pé de trono em forma de Gajasimha","M-0239"
"piano de cauda","M-0240"
"candelabro","M-0241"
"candelabro","M-0242"
"taça","M-0243"
"Bodhisattva","M-0244"
"buda em meditação","M-0245"
"Bodhisattva","M-0246"
"vaso decorativo com tampa","M-0247"
"mOLDURA","M-0248"
"terrina com presentoir","M-0249"
"saleiro","M-0250"
"cadeira de braços","M-0251"
"Jarrão","M-0252"
"figura de lutador","M-0253"
"prato","M-0254"
"bandeja","M-0255"
"Buda em meditação","M-0256"
"Buda da purificação - Vajrasattva","M-0257"
"Buda em meditação","M-0258"
"taça","M-0259"
"recipiente","M-0260"
"Incensário","M-0261"
"cadeira de braços","M-0262"
"mesa lateral","M-0263"
"mesa lateral","M-0264"
"bodhisattva","M-0265"
"buda","M-0266"
"Divindade feminina","M-0267"
"recipiente","M-0268"
"ânfora (volute krater)","M-0269"
"vaso (pelike)","M-0270"
"jarra (oinochoe)","M-0271"
"xícara com tampa","M-0272"
"corola","M-0273"
"coluna","M-0274"
"coluna","M-0275"
"cadeira de braços","M-0276"
"tocheiro","M-0277"
"tocheiro","M-0278"
"cadeira de braços","M-0279"
"porta","M-0280"
"porta","M-0281"
"mesa","M-0282"
"Mesa lateral","M-0283"
"Mesa lateral","M-0284"
"palma de parede","M-0285"
"palma de parede","M-0286"
"lareira (frontão)","M-0287"
"cadeira","M-0288"
"frasco para rapé","M-0289"
"Frasco para rapé","M-0290"
"caixa","M-0291"
"divindade feminina ","M-0292"
"Concha com cena de pesca - okimono","M-0293"
"Estatueta de Ibeji","M-0294"
"recipiente","M-0295"
"Figura masculina","M-0296"
"adão e eva (relevo)","M-0297"
"virgem em adoração","M-0298"
"São José em adoração","M-0299"
"Náutilus","M-0300"
"isqueiro","M-0301"
"Bom Pastor","M-0302"
"bom Pastor","M-0303"
"caixa","M-0304"
"caixa","M-0305"
"caixa","M-0306"
"Corno de marfim (?) esculpido","M-0307"
"espelho de parede","M-0308"
"figura taoísta (gama - sennin) - netsuke","M-0309"
"porta-pincéis","M-0310"
"Porta-pincéis","M-0311"
"grupo de macacos - okimono","M-0312"
"Sapos - netsuke","M-0313"
"guerreiros em luta - Netsuke","M-0314"
"grupo de músicos - netsuke","M-0315"
